epoch,E_Output_loss,E_Output_masked_1c_corr_metric_2ch,E_Output_masked_1c_rmse_metric_2ch,N_Output_loss,N_Output_masked_1c_corr_metric_2ch,N_Output_masked_1c_rmse_metric_2ch,Z_Output_loss,Z_Output_masked_1c_corr_metric_2ch,Z_Output_masked_1c_rmse_metric_2ch,loss,val_E_Output_loss,val_E_Output_masked_1c_corr_metric_2ch,val_E_Output_masked_1c_rmse_metric_2ch,val_N_Output_loss,val_N_Output_masked_1c_corr_metric_2ch,val_N_Output_masked_1c_rmse_metric_2ch,val_Z_Output_loss,val_Z_Output_masked_1c_corr_metric_2ch,val_Z_Output_masked_1c_rmse_metric_2ch,val_loss,val_total_corr
0,2.553148031234741,0.3746153712272644,1.594447374343872,2.439159870147705,0.4018562138080597,1.558408498764038,2.095583200454712,0.430103063583374,1.4435296058654785,7.08750581741333,1.5434364080429077,0.48347997665405273,1.238861083984375,1.5170037746429443,0.49201884865760803,1.2284891605377197,1.2303612232208252,0.5377963185310364,1.105409860610962,4.290369510650635,1.5132951438426971
1,2.254303455352783,0.49358969926834106,1.498077392578125,2.160231351852417,0.5105545520782471,1.466513991355896,1.8407073020935059,0.5348101854324341,1.3531931638717651,6.256246089935303,1.4458662271499634,0.5293989777565002,1.1991996765136719,1.3730154037475586,0.5473021864891052,1.1686850786209106,1.1703732013702393,0.5698739886283875,1.0784111022949219,3.988642930984497,1.646575152873993
2,2.124699354171753,0.5401319265365601,1.4545966386795044,2.026461362838745,0.556734561920166,1.42056405544281,1.755246877670288,0.5706376433372498,1.3216465711593628,5.9099531173706055,1.3626173734664917,0.5659869909286499,1.1642903089523315,1.3124884366989136,0.5722256302833557,1.1426657438278198,1.099287509918213,0.6031681895256042,1.04518461227417,3.7737350463867188,1.7413808107376099
3,2.0482535362243652,0.5612429976463318,1.4285472631454468,1.9612699747085571,0.5719813704490662,1.3979061841964722,1.640129566192627,0.6021860241889954,1.2779412269592285,5.649157524108887,1.344616174697876,0.573888897895813,1.1566866636276245,1.290770411491394,0.5828334093093872,1.1331974267959595,1.0531784296035767,0.622893750667572,1.0230551958084106,3.6878912448883057,1.7796160578727722
4,2.0381927490234375,0.5649029016494751,1.4248499870300293,1.941800594329834,0.5790176391601562,1.3906962871551514,1.622914433479309,0.6122940182685852,1.2710012197494507,5.599476337432861,1.3213670253753662,0.5825004577636719,1.1466728448867798,1.2746583223342896,0.591416597366333,1.1261101961135864,1.029247522354126,0.6336378455162048,1.011401653289795,3.6246068477630615,1.8075549006462097
5,1.985728144645691,0.5763934254646301,1.4061342477798462,1.9056687355041504,0.5870262980461121,1.3774969577789307,1.559822916984558,0.6278479695320129,1.2459570169448853,5.45447301864624,1.3129336833953857,0.5863138437271118,1.1430020332336426,1.2623236179351807,0.5969439744949341,1.120739459991455,1.0250478982925415,0.6429131031036377,1.0093066692352295,3.5996389389038086,1.8261709213256836
6,1.9750640392303467,0.5761252045631409,1.4021565914154053,1.892930269241333,0.5878084897994995,1.3727425336837769,1.5458801984786987,0.629193127155304,1.2400648593902588,5.413832187652588,1.3104923963546753,0.5875308513641357,1.1419662237167358,1.2505792379379272,0.5993177890777588,1.1154568195343018,1.0042015314102173,0.6469612717628479,0.9990792870521545,3.5646138191223145,1.8338099122047424
7,1.970895767211914,0.579239547252655,1.400651454925537,1.879557490348816,0.5909792184829712,1.3678439855575562,1.5534981489181519,0.6299545764923096,1.2431484460830688,5.405526161193848,1.2963467836380005,0.5927148461341858,1.1357691287994385,1.2460415363311768,0.6046563982963562,1.1134531497955322,1.0143508911132812,0.6502166986465454,1.0042099952697754,3.5560622215270996,1.8475879430770874
8,1.9548393487930298,0.5841712355613708,1.394821047782898,1.8886454105377197,0.593720018863678,1.3710309267044067,1.5161668062210083,0.6396927237510681,1.2280006408691406,5.3602986335754395,1.2970627546310425,0.597251296043396,1.136042833328247,1.2284584045410156,0.6087696552276611,1.1055585145950317,0.9868279099464417,0.6547013521194458,0.9905382394790649,3.51169490814209,1.860722303390503
9,1.9483704566955566,0.5861652493476868,1.3929425477981567,1.8633127212524414,0.5988923907279968,1.3620558977127075,1.5083004236221313,0.6413663625717163,1.2251677513122559,5.319454669952393,1.2786462306976318,0.6004392504692078,1.1280262470245361,1.2360155582427979,0.6054180264472961,1.108927845954895,0.9699533581733704,0.6600757241249084,0.9820142984390259,3.483961343765259,1.8659330010414124
10,1.9428805112838745,0.5895258188247681,1.3906985521316528,1.8666675090789795,0.5988543629646301,1.363215684890747,1.504661202430725,0.6455827355384827,1.223476767539978,5.31692361831665,1.272341251373291,0.6035211682319641,1.125230312347412,1.214213490486145,0.6141317486763,1.0991501808166504,0.9617012739181519,0.6631491184234619,0.9778175950050354,3.447606086730957,1.880802035331726
11,1.9144021272659302,0.5940276384353638,1.3810594081878662,1.8392374515533447,0.6031043529510498,1.353676199913025,1.476351261138916,0.6491743326187134,1.212526798248291,5.232792854309082,1.2687618732452393,0.6047044992446899,1.1236329078674316,1.2249960899353027,0.6104738116264343,1.1039284467697144,0.9583685994148254,0.6645839214324951,0.9760648012161255,3.4514455795288086,1.8797622323036194
12,1.880466341972351,0.5987246632575989,1.3684567213058472,1.8014988899230957,0.6085979342460632,1.339404821395874,1.4470487833023071,0.6545254588127136,1.2000622749328613,5.131907939910889,1.267276644706726,0.6089552640914917,1.123030662536621,1.2082509994506836,0.6174203753471375,1.0963451862335205,0.9573323130607605,0.6652519702911377,0.9756044149398804,3.4322071075439453,1.8916276097297668
13,1.9188990592956543,0.5927103161811829,1.3822379112243652,1.8391059637069702,0.6031501889228821,1.3532649278640747,1.4893845319747925,0.6471291780471802,1.217389702796936,5.248529434204102,1.2658988237380981,0.6111887097358704,1.1223570108413696,1.2280727624893188,0.6176055073738098,1.105345368385315,0.9532872438430786,0.6665956974029541,0.9735257625579834,3.4465584754943848,1.8953899145126343
14,1.886668086051941,0.5989692211151123,1.3701575994491577,1.8099836111068726,0.6081652045249939,1.3421066999435425,1.4544506072998047,0.6531978845596313,1.2024850845336914,5.14882230758667,1.2485754489898682,0.6136205196380615,1.114656925201416,1.2046129703521729,0.6211513876914978,1.0947754383087158,0.9413440823554993,0.6721022129058838,0.9674020409584045,3.393866539001465,1.9068741202354431
15,1.9077963829040527,0.6011487245559692,1.3787072896957397,1.8379822969436646,0.6094802618026733,1.3533076047897339,1.4636509418487549,0.6577277779579163,1.207306981086731,5.210526466369629,1.2419244050979614,0.6151535511016846,1.111716389656067,1.1918987035751343,0.6237189769744873,1.0889980792999268,0.9397007822990417,0.6742939352989197,0.9666222333908081,3.372858762741089,1.9131664633750916
16,1.8686244487762451,0.6030622124671936,1.3642154932022095,1.7953283786773682,0.612140417098999,1.33721125125885,1.4342421293258667,0.6586832404136658,1.1948164701461792,5.096368312835693,1.2397723197937012,0.6160516142845154,1.1107665300369263,1.2041666507720947,0.6240592002868652,1.0946203470230103,0.9413520097732544,0.6748126149177551,0.9674135446548462,3.38464617729187,1.9149234294891357
