epoch,E_Output_loss,E_Output_masked_1c_corr_metric_2ch,E_Output_masked_1c_rmse_metric_2ch,N_Output_loss,N_Output_masked_1c_corr_metric_2ch,N_Output_masked_1c_rmse_metric_2ch,Z_Output_loss,Z_Output_masked_1c_corr_metric_2ch,Z_Output_masked_1c_rmse_metric_2ch,loss,val_E_Output_loss,val_E_Output_masked_1c_corr_metric_2ch,val_E_Output_masked_1c_rmse_metric_2ch,val_N_Output_loss,val_N_Output_masked_1c_corr_metric_2ch,val_N_Output_masked_1c_rmse_metric_2ch,val_Z_Output_loss,val_Z_Output_masked_1c_corr_metric_2ch,val_Z_Output_masked_1c_rmse_metric_2ch,val_loss,val_total_corr
23,0.4833781123161316,0.8403059244155884,0.6913634538650513,0.4820941090583801,0.8397108912467957,0.6903336048126221,0.4302140176296234,0.8454601764678955,0.6521250009536743,1.3952383995056152,0.49217501282691956,0.8414809107780457,0.695932924747467,0.4945724308490753,0.8388612866401672,0.6976378560066223,0.44643768668174744,0.8451103568077087,0.6631064414978027,1.4340178966522217,2.5254525542259216
24,0.48068439960479736,0.8408279418945312,0.689123272895813,0.4792499542236328,0.8401986956596375,0.6880897879600525,0.4318852424621582,0.8448317646980286,0.6529680490493774,1.391933798789978,0.49385228753089905,0.8422249555587769,0.6972728371620178,0.48444515466690063,0.8427944779396057,0.6903472542762756,0.44445493817329407,0.8455799221992493,0.6616111397743225,1.4235955476760864,2.530599355697632
25,0.4681839346885681,0.8446484208106995,0.6807175874710083,0.4675539433956146,0.8438736200332642,0.6802771687507629,0.4183252155780792,0.8490334153175354,0.6434399485588074,1.3543998003005981,0.48230382800102234,0.8446722030639648,0.6889336705207825,0.48159319162368774,0.8435054421424866,0.6884064078330994,0.4377686083316803,0.8462085127830505,0.656467616558075,1.402493953704834,2.534386157989502
26,0.4707556664943695,0.8437878489494324,0.6816809773445129,0.47009962797164917,0.8431500196456909,0.6812448501586914,0.4199161231517792,0.8483749032020569,0.6435673236846924,1.3610904216766357,0.4833783507347107,0.8451315760612488,0.6896350383758545,0.47853270173072815,0.8448472619056702,0.6861863732337952,0.4271518290042877,0.8503537178039551,0.6484895944595337,1.3898792266845703,2.540332555770874
27,0.4617482125759125,0.8465674519538879,0.6755439639091492,0.4618975818157196,0.8458130955696106,0.6757350564002991,0.41178783774375916,0.8513336181640625,0.6378811597824097,1.3351773023605347,0.47881463170051575,0.84635990858078,0.6864952445030212,0.4788561761379242,0.8442427515983582,0.6864902973175049,0.43291038274765015,0.84907466173172,0.6528385877609253,1.3913782835006714,2.539677321910858
28,0.4539523720741272,0.846714437007904,0.6698431372642517,0.45495450496673584,0.8456295728683472,0.670536458492279,0.4077140688896179,0.8504403233528137,0.6348819136619568,1.3172087669372559,0.4754531979560852,0.8470717072486877,0.6840807199478149,0.4774356484413147,0.8447933793067932,0.6854172348976135,0.42527467012405396,0.8510138392448425,0.6470877528190613,1.3789740800857544,2.5428789258003235
29,0.45763275027275085,0.848943293094635,0.6724871397018433,0.4597378075122833,0.8475184440612793,0.6739789843559265,0.40987616777420044,0.8527829647064209,0.6362389326095581,1.327709674835205,0.46995794773101807,0.8490800857543945,0.6799989938735962,0.4722937345504761,0.8473742008209229,0.6816511154174805,0.423878937959671,0.852574348449707,0.6459919810295105,1.3669579029083252,2.5490286350250244
30,0.4495185315608978,0.8503276705741882,0.6662960052490234,0.4507444202899933,0.848964512348175,0.6670240163803101,0.4013011157512665,0.8545804023742676,0.6292943954467773,1.3027164936065674,0.4742952287197113,0.8486508131027222,0.6830917596817017,0.473734050989151,0.8474154472351074,0.6825940608978271,0.4231331944465637,0.8521565198898315,0.6454538106918335,1.3719624280929565,2.548222780227661
31,0.45176389813423157,0.8507470488548279,0.6684421300888062,0.4530065357685089,0.8493735790252686,0.6691761612892151,0.4047737121582031,0.8546310067176819,0.6326333284378052,1.3095027208328247,0.46521052718162537,0.8503116965293884,0.6765376329421997,0.4705008566379547,0.8479351997375488,0.680343747138977,0.42041710019111633,0.8538475632667542,0.6433445811271667,1.356925129890442,2.5520944595336914
32,0.4503430426120758,0.8519867658615112,0.6671132445335388,0.45007312297821045,0.8508055806159973,0.6668481826782227,0.40130192041397095,0.8563367128372192,0.6297645568847656,1.30328369140625,0.46264007687568665,0.8514648675918579,0.6747668385505676,0.4646073877811432,0.8502479791641235,0.6760583519935608,0.4129652976989746,0.8553894758224487,0.6376867294311523,1.3409936428070068,2.55710232257843
33,0.4571433663368225,0.8498812913894653,0.6720860004425049,0.45860299468040466,0.8482788801193237,0.6729440093040466,0.40655192732810974,0.8543761968612671,0.6337411403656006,1.3237977027893066,0.45657503604888916,0.8535516858100891,0.6701826453208923,0.45762497186660767,0.8518813252449036,0.6709263324737549,0.4114432632923126,0.8562188744544983,0.6364684700965881,1.3264317512512207,2.561651885509491
34,0.43873563408851624,0.8548039197921753,0.6584987044334412,0.4386172592639923,0.8535539507865906,0.6581613421440125,0.39294004440307617,0.8583638072013855,0.6231697797775269,1.2698055505752563,0.4601726531982422,0.8525422811508179,0.6729486584663391,0.4672331213951111,0.8507261276245117,0.6781911849975586,0.42050638794898987,0.8556286692619324,0.6435286998748779,1.3487008810043335,2.558897078037262
35,0.4463351368904114,0.8531484603881836,0.6641070246696472,0.4472094178199768,0.8522403240203857,0.6646182537078857,0.39877817034721375,0.8573321104049683,0.6277737617492676,1.2898955345153809,0.45249590277671814,0.8546991348266602,0.6672472953796387,0.4650699198246002,0.8518369197845459,0.6765110492706299,0.4162900447845459,0.8574057221412659,0.6402902603149414,1.334644079208374,2.563941776752472
36,0.44044262170791626,0.8545843958854675,0.6604235172271729,0.44000616669654846,0.8540972471237183,0.659961998462677,0.39218899607658386,0.8593673706054688,0.6228534579277039,1.272321343421936,0.45314496755599976,0.8545626401901245,0.6677277088165283,0.45397019386291504,0.8531893491744995,0.6681430339813232,0.40905866026878357,0.8571215867996216,0.6346303820610046,1.3169431686401367,2.5648735761642456
